ID,Name,Pos,tier,tierValue,recommendedDrawWeight,Positive,Negative,Neutral,years active,scout hint,extraHint1,extraHint2
,Deron Williams,PG,ALL_STAR,4,0.15,Shot 50.7% from the field in 2007-08.,Played his final NBA game at age 32.,Played college basketball at Illinois.,2005-2017,Selected 3rd overall in the 2005 draft.,Won Olympic gold in both 2008 and 2012.,Made an NBA-record 9 threes in one half in 2013.
,John Wall,PG,ALL_STAR,4,0.15,Made an All-Defensive team once.,Shot 32.2% from three for his career.,Played one college season at Kentucky.,2010-2023,Made 5 NBA All-Star teams.,Made All-NBA Third Team in 2016-17.,Won the 2014 Slam Dunk Contest.
,Kemba Walker,PG,ALL_STAR,4,0.15,Won the NBA Sportsmanship Award twice.,Shot 41.8% from the field for his career.,Played 750 regular-season games.,2011-2023,Selected 9th overall in the 2011 draft.,Became Charlotte's all-time leading scorer.,Won the 2011 NCAA title and Final Four MOP.
,Penny Hardaway,PG,ALL_STAR,4,0.15,Finished 2nd in Rookie of the Year voting.,Played only 4 games in the 2005-06 season.,Played for 4 NBA franchises.,1993-2008,Made All-NBA First Team in consecutive seasons.,Reached the NBA Finals in his second season.,Was traded on draft night for the rights to Chris Webber.
,Steve Francis,PG,ALL_STAR,4,0.15,Averaged 5.6 rebounds per game for his career.,Played only 5 career playoff games.,Attended 3 colleges before entering the NBA.,1999-2008,Selected 2nd overall in the 1999 draft.,Shared Rookie of the Year with Elton Brand.,"Drafted by Vancouver, then traded to Houston before his debut."
,Mike Conley,PG,SOLID,3,0.35,Shot 38.7% from three for his career.,Averaged 13.6 points per game for his career.,Shoots left-handed.,2007-present,Led the NBA with 174 total steals in 2012-13.,Was selected as an NBA All-Star in 2021.,Won the NBA Sportsmanship Award a record 4 times.
,Andre Miller,PG,SOLID,3,0.35,Played all 82 games in 9 different seasons.,Shot 21.7% from three for his career.,Played for 9 NBA franchises.,1999-2016,Led the NBA with 10.9 assists per game in 2001-02.,Scored a career-high 52 points at age 34.,Has the most career assists of any player never selected as an All-Star.
,Mike Bibby,PG,SOLID,3,0.35,Made the NBA All-Rookie team as a rookie.,Never made an NBA All-Star team.,"Played 1,001 regular-season games.",1998-2012,Selected 2nd overall by Vancouver in 1998.,Won the NCAA championship with Arizona as a freshman.,Scored 29 points in Game 7 of the 2002 Western Conference Finals.
,Jason Williams,PG,SOLID,3,0.35,Won the 2006 title as Miami's starting playoff point guard.,Shot under 40% from the field for his career.,Played college basketball at Marshall and Florida.,1998-2011,Made All-Rookie First Team with Sacramento.,Threw the famous elbow pass in the 2000 Rising Stars game.,"Became famous around the league as ""White Chocolate."""
,Kirk Hinrich,PG,SOLID,3,0.35,Started all 80 games he played in 2006-07.,Averaged 4.8 assists per game for his career.,Listed at 6-foot-4.,2003-2016,Played 11 of his 13 NBA seasons with Chicago.,Made the 2007 All-Defensive Second Team.,"Finished as Chicago's franchise leader with 1,049 made threes."
,Mark Jackson,PG,SOLID,3,0.35,Averaged 8.0 assists per game for his career.,Made only 1 All-Star team in 17 seasons.,"Played 1,296 regular-season games.",1987-2004,Won Rookie of the Year in 1987-88.,Led the NBA in assists in 1996-97.,"Finished his career with 10,334 assists."
,Rod Strickland,PG,SOLID,3,0.35,Shot 45.4% from the field for his career.,Shot 28.2% from three for his career.,Played college basketball at DePaul.,1988-2005,Selected 19th overall in the 1988 draft.,Led the NBA with 10.5 assists per game in 1997-98.,Made All-NBA Second Team despite never making an All-Star team.
,Sam Cassell,PG,SOLID,3,0.35,Shot 86.1% from the free-throw line for his career.,Started only 6 games as a rookie.,Played 993 regular-season games.,1993-2008,Made his lone All-Star team at age 34.,Won NBA championships in each of his first 2 seasons.,Won a third championship 13 years later with Boston.
,Derek Fisher,PG,SOLID,3,0.35,Played 18 NBA seasons.,Averaged 8.3 points per game for his career.,Played college basketball at Little Rock.,1996-2014,"Made 846 threes as a Laker, 2nd in franchise history.",Won 5 NBA championships.,Hit a playoff game-winner with 0.4 seconds remaining in 2004.
,José Calderón,PG,SOLID,3,0.35,Shot 47.2% from the field for his career.,Played only 40 career playoff games.,Was born in Spain.,2005-2019,Recorded 19 assists in a single game in 2009.,Spent his first 8 NBA seasons with Toronto.,Set the NBA single-season free-throw record at 98.1%.
,Ricky Rubio,PG,SOLID,3,0.35,Made the NBA All-Rookie First Team.,Shot 38.8% from the field for his career.,Played 698 regular-season games.,2011-2023,Selected 5th overall in the 2009 draft.,Recorded a career-high 19 assists in one game.,Became the youngest player in a men's Olympic basketball final at age 17.
,George Hill,PG,SOLID,3,0.35,Scored a career-high 37 points in a game.,Never made an NBA All-Star team.,Played college basketball at IUPUI.,2008-2023,Selected 26th overall in the 2008 draft.,Led the NBA in three-point percentage at 46.0% in 2019-20.,Reached the 2018 NBA Finals as Cleveland's starting point guard.
,Jameer Nelson,PG,SOLID,3,0.35,Shot 42.4% from three in his second NBA season.,Shot 68.2% from the free-throw line as a rookie.,Played 878 regular-season games.,2004-2018,Made his lone NBA All-Star team in 2009.,Was the consensus National Player of the Year in college in 2004.,Finished as Orlando's all-time leader in assists.
,Jeff Teague,PG,SOLID,3,0.35,Averaged 5.6 assists per game for his career.,Shot 21.9% from three as a rookie.,Played college basketball at Wake Forest.,2009-2021,Scored a career-high 34 points in a game.,Made the 2015 NBA All-Star team.,Won the 2021 NBA championship after joining Milwaukee midseason.
,Goran Dragić,PG,SOLID,3,0.35,Scored 40 points in a regular-season game.,Started only 1 game as a rookie.,Played 946 regular-season games.,2008-2023,Selected 45th overall in the 2008 draft.,Won Most Improved Player and made All-NBA Third Team in 2014.,Captained Slovenia to its first EuroBasket title and won tournament MVP.
,Reggie Jackson,PG,SOLID,3,0.35,Averaged at least 10 points in 11 straight seasons.,Shot 34.5% from three for his career.,Played college basketball at Boston College.,2011-2025,Selected 24th overall in the 2011 draft.,"Scored a career-high 40 points, including 26 in the fourth quarter.",Won the 2023 NBA championship with Denver.
,Dennis Schröder,PG,SOLID,3,0.35,Averaged 4.9 assists per game for his career.,Shot 34.1% from three for his career.,Listed at 6-foot-1.,2013-present,Selected 17th overall in the 2013 draft.,Finished 2nd in Sixth Man of the Year voting in 2019-20.,Won 2023 FIBA World Cup MVP while leading Germany to its first title.
,Malcolm Brogdon,PG,SOLID,3,0.35,Shot 87.4% from the free-throw line for his career.,Played only 48 games in his second season.,Selected 36th overall in the 2016 draft.,2016-2025,Won NBA Rookie of the Year.,Joined the 50-40-90 club in 2018-19.,Won both Rookie of the Year and Sixth Man of the Year during his career.
,D'Angelo Russell,PG,SOLID,3,0.35,Made the NBA All-Rookie Second Team.,Averaged 2.6 turnovers per game for his career.,Shoots left-handed.,2015-present,Selected 2nd overall in the 2015 draft.,Became Brooklyn's first All-Star since 2014.,Scored a career-high 52 points for Golden State in 2019.
,Tyus Jones,PG,SOLID,3,0.35,Played all 82 games in the 2017-18 season.,Averaged 7.3 points per game for his career.,Selected 24th overall in the 2015 draft.,2015-present,Won the 2015 NCAA title and Final Four Most Outstanding Player.,Led the NBA in assist-to-turnover ratio for 6 consecutive seasons.,Set the NBA single-season assist-to-turnover ratio record 3 separate times.
,Jamal Crawford,PG,BENCH,2,0.3,Played 20 NBA seasons.,Shot 34.8% from three for his career.,Played college basketball at Michigan.,2000-2020,Won Sixth Man of the Year 3 times.,Recorded an NBA-record 55 four-point plays.,"Scored 51 points at age 39, the oldest 50-point game ever."
,Lou Williams,PG,BENCH,2,0.3,Shot 84.2% from the free-throw line for his career.,Shot 41.9% from the field for his career.,Entered the NBA directly from high school.,2005-2022,Selected 45th overall in the 2005 draft.,Won Sixth Man of the Year 3 times.,"Retired as the NBA's all-time leader with 13,396 bench points."
,Jason Terry,PG,BENCH,2,0.3,Shot 38.0% from three for his career.,Never made an NBA All-Star team.,Played college basketball at Arizona.,1999-2018,Selected 10th overall in the 1999 draft.,Won Sixth Man of the Year in 2008-09.,Scored 27 points off the bench in the title-clinching 2011 Finals game.
,Nate Robinson,PG,BENCH,2,0.3,Shot 39.7% from three as a rookie.,Averaged 3.0 assists per game for his career.,Played college basketball at Washington.,2005-2015,Selected 21st overall in the 2005 draft.,Scored 34 points in a triple-overtime playoff win.,Became the first and only 3-time Slam Dunk Contest champion.
,Shaun Livingston,PG,BENCH,2,0.3,Shot 48.6% from the field for his career.,Shot 17.8% from three for his career.,Played 833 regular-season games.,2004-2019,Selected 4th overall in the 2004 draft.,Won 3 NBA championships with Golden State.,Was part of all 5 straight Warriors Finals teams from 2015-19.
,Patrick Beverley,PG,BENCH,2,0.3,Shot 37.1% from three for his career.,Averaged 8.3 points per game for his career.,Played college basketball at Arkansas.,2013-2024,Spent 3 years overseas before making his NBA debut.,Made 3 NBA All-Defensive teams.,Made First Team All-Defense and won the Hustle Award in 2017.
,J.J. Barea,PG,BENCH,2,0.3,Averaged 3.9 assists per game for his career.,Shot 42.4% from the field for his career.,Born in Puerto Rico.,2006-2020,Went undrafted in the 2006 NBA Draft.,Won the 2011 NBA championship with Dallas.,Entered Dallas's starting lineup in Game 4 of the 2011 Finals.
,Mario Chalmers,PG,BENCH,2,0.3,Started all 82 games as a rookie.,Averaged 8.9 points per game for his career.,"Born in Anchorage, Alaska.",2008-2018,Recorded 9 steals in a single game.,Won 2 NBA championships with Miami.,Hit the game-tying three with 2.1 seconds left in the 2008 NCAA title game.
,Jeremy Lin,PG,BENCH,2,0.3,Shot 80.9% from the free-throw line for his career.,Shot 34.2% from three for his career.,Played for 8 NBA franchises.,2010-2019,Went undrafted in 2010.,Scored 38 points against the Lakers during his 2012 breakout.,Became the first player with 20+ points and 7+ assists in each of his first 5 starts.
,Muggsy Bogues,PG,BENCH,2,0.3,Averaged 7.6 assists per game for his career.,Shot 27.8% from three for his career.,Selected 12th overall in the 1987 draft.,1987-2001,Averaged 10.7 assists per game in 1989-90.,Remains Charlotte's all-time leader in both assists and steals.,"At 5-foot-3, was the shortest player in NBA history."
,Spud Webb,PG,BENCH,2,0.3,Shot 84.8% from the free-throw line for his career.,Shot 31.4% from three for his career.,Played 814 regular-season games.,"1985-1996, 1997-1998",Selected 87th overall in the 1985 draft.,Won the 1986 Slam Dunk Contest.,"At 5-foot-6, became the shortest Slam Dunk Contest champion."
,Darrell Armstrong,PG,BENCH,2,0.3,Averaged 6.7 assists per game in 1998-99.,Shot 40.9% from the field for his career.,Played college basketball at Fayetteville State.,1995-2008,Went undrafted and reached the NBA at age 26.,Finished his Orlando career 2nd in franchise history in steals.,Only player to win Most Improved and Sixth Man in the same season.
,Rafer Alston,PG,BENCH,2,0.3,Averaged 4.8 assists per game for his career.,Shot 38.3% from the field for his career.,Played college basketball at Fresno State.,2000-2010,Selected 39th overall in the 1998 draft.,Scored 20 points in Orlando's first NBA Finals win.,"His streetball tape inspired AND1's original Mixtape as ""Skip 2 My Lou."""
,Jarrett Jack,PG,BENCH,2,0.3,Played all 82 games in back-to-back seasons.,Shot 34.3% from three for his career.,Listed at 6-foot-3.,2005-2018,Selected 22nd overall in the 2005 draft.,Finished 3rd in Sixth Man of the Year voting in 2013.,Scored 20+ points in 4 straight 2013 playoff games against Denver.
,D.J. Augustin,PG,BENCH,2,0.3,Shot 86.7% from the free-throw line for his career.,Started only 2 games in his second NBA season.,Played 976 regular-season games.,2008-2022,Selected 9th overall in the 2008 draft.,Made the 2009 All-Rookie Second Team.,Hit the Game 1 playoff winner against eventual champion Toronto in 2019.
,Darren Collison,PG,BENCH,2,0.3,Shot 47.1% from the field for his career.,Averaged 2.7 turnovers per game as a rookie.,Played for 5 NBA franchises before his first retirement.,"2009-2019, 2021-2022",Selected 21st overall in the 2009 draft.,Made the 2010 All-Rookie First Team.,Led the NBA in both 3-point percentage and assist-to-turnover ratio in 2017-18.
,Raymond Felton,PG,BENCH,2,0.3,Averaged 5.2 assists per game for his career.,Shot 32.9% from three for his career.,Played 971 regular-season games.,2005-2019,Selected 5th overall in the 2005 draft.,Made the 2006 All-Rookie Second Team.,Was sent to Denver as part of the Carmelo Anthony trade.
,Steve Blake,PG,BENCH,2,0.3,Played 13 NBA seasons.,Averaged 6.5 points per game for his career.,Played college basketball at Maryland.,2003-2016,Selected 38th overall in the 2003 draft.,Won the 2002 NCAA championship with Maryland.,Finished as Maryland's all-time leader with 972 assists.
,Jordan Farmar,PG,BENCH,2,0.3,Shot 37.4% from three for his career.,Averaged 7.7 points per game for his career.,Played 504 regular-season games.,"2006-2012, 2013-2016",Selected 26th overall in the 2006 draft.,Won back-to-back NBA titles in 2009 and 2010.,Became the first player to play a D-League and NBA game on the same day.
,Beno Udrih,PG,BENCH,2,0.3,Shot 46.3% from the field for his career.,Averaged 8.4 points per game for his career.,Was born in Slovenia.,2004-2017,Selected 28th overall in the 2004 draft.,Started 51 games and averaged 12.8 points in his first Sacramento season.,Won 2 NBA championships in his first 3 seasons with San Antonio.
,Markelle Fultz,PG,BUST,1,0.15,Averaged 23.2 PPG in his lone Washington season.,A nerve condition disrupted his shoulder and shooting.,Played one college season at Washington.,2017-present,Philadelphia traded up from No. 3 to No. 1 for him.,Played only 14 games as a rookie.,Became the NBA's youngest triple-double player at 19.
,Jonny Flynn,PG,BUST,1,0.15,Made All-Rookie Second Team after starting 81 games.,His NBA career lasted only three seasons.,Played two college seasons at Syracuse.,2009-2012,"Logged 67 minutes, 34 points and 11 assists in a six-OT win.","Minnesota drafted Rubio 5th, then him 6th.",Stephen Curry was taken 7th.
,Emmanuel Mudiay,PG,BUST,1,0.15,Scored 32 points in a regular-season game.,Shot 67.0% from the free-throw line as a rookie.,Played 302 regular-season games.,"2015-2020, 2021-2022","Was born in Kinshasa, Democratic Republic of the Congo.",Selected 7th overall in the 2015 draft.,Played professionally in China instead of college before entering the draft.
,Dennis Smith Jr.,PG,BUST,1,0.15,Made the NBA All-Rookie Second Team.,Shot 39.5% from the field as a rookie.,Played college basketball at NC State.,2017-2024,Recorded a triple-double at age 20.,Selected 9th overall in the 2017 draft.,Was traded to New York in the Kristaps Porzingis deal.
,Kris Dunn,PG,BUST,1,0.15,Played 78 games as a rookie.,Shot 61.0% from the free-throw line as a rookie.,Played college basketball at Providence.,2016-present,Selected 5th overall in the 2016 draft.,Finished 4th in the NBA in total steals in 2019-20.,Was traded with Zach LaVine and the No. 7 pick for Jimmy Butler.
,Michael Carter-Williams,PG,BUST,1,0.15,Averaged 4.3 rebounds per game for his career.,Shot 25.6% from three for his career.,Played 395 regular-season games.,2013-2023,Selected 11th overall in the 2013 draft.,Won NBA Rookie of the Year.,"Had 22 points, 12 assists, 9 steals and 7 rebounds in his NBA debut."
,Jimmer Fredette,PG,BUST,1,0.15,Shot 87.9% from the free-throw line for his career.,Averaged 1.4 assists per game for his career.,Played college basketball at BYU.,"2011-2016, 2019",Selected 10th overall in the 2011 draft.,Averaged 37 points per game across 3 seasons in China.,Scored 75 points in a Chinese Basketball Association game.
,Kendall Marshall,PG,BUST,1,0.15,Averaged 4.9 assists per game for his career.,Shot 61.1% from the free-throw line for his career.,Shoots left-handed.,2012-2016,Selected 13th overall in the 2012 draft.,Won the 2012 Bob Cousy Award.,"Averaged 8.8 assists for the Lakers in 2013-14, second in the NBA."
,Sebastian Telfair,PG,BUST,1,0.15,Played 10 NBA seasons.,Shot 39.0% from the field for his career.,Made the Sports Illustrated cover while still in high school.,"2004-2013, 2014-2015",Signed an eight-figure shoe deal before entering the NBA.,Portland drafted him 13th straight out of high school.,His cousin is Stephon Marbury.
,Acie Law,PG,BUST,1,0.15,Shot 81.7% from the free-throw line in his second season.,Shot 23.5% from three for his career.,Listed at 6-foot-3.,2007-2011,Selected 11th overall in the 2007 draft.,Won the 2007 Bob Cousy Award as the nation's top college point guard.,Became Texas A&M's first consensus First-Team All-American.
,Marcus Banks,PG,BUST,1,0.15,Shot 46.8% from the field in 2005-06.,Averaged 5.9 points per game for his career.,Attended Dixie State and UNLV.,2003-2011,Won Mountain West Defensive Player of the Year twice.,Selected 13th overall in the 2003 draft.,Was traded to Boston on draft night alongside Kendrick Perkins.
,Mateen Cleaves,PG,BUST,1,0.15,Played 78 games as a rookie.,Shot 26.7% from three for his career.,"Born in Flint, Michigan.",2000-2006,Selected 14th overall in the 2000 draft.,Was a 3-time consensus All-American and 2-time Big Ten Player of the Year.,Won the 2000 NCAA title and Final Four Most Outstanding Player.
,Marquis Teague,PG,BUST,1,0.15,Averaged 4.8 assists in his only college season.,Started only 3 of his 91 NBA games.,Listed at 6-foot-2.,"2012-2014, 2018",Returned to the NBA in 2018 after 4 seasons away.,Won the 2012 NCAA championship as Kentucky's starting point guard.,His older brother Jeff became an NBA All-Star point guard.
,Tyler Ennis,PG,BUST,1,0.15,Made the All-ACC Defensive Team as a freshman.,Played only 186 NBA games.,"Born in Brampton, Ontario.",2014-2018,Selected 18th overall in the 2014 draft.,Led the ACC in both assists and steals as a freshman.,Hit a near-half-court buzzer-beater to keep Syracuse 24-0.
,Frank Ntilikina,PG,BUST,1,0.15,Recorded 11 assists in a game as a rookie.,Shot 36.9% from the field for his career.,Played for 3 NBA franchises.,2017-2024,Won back-to-back French League Best Young Player awards.,Selected 8th overall by New York in the 2017 draft.,Won U18 European Championship MVP after a 31-point title-game performance.
,Michael Jordan,SG,HALL_OF_FAMER,5,0.05,"Scored 3,041 points in the 1986-87 season.",Missed 64 games in year two with a broken foot.,Played three college seasons at North Carolina.,"1984-1993, 1995-1998, 2001-2003",Scored an NBA playoff-record 63 against Boston.,Won MVP and Defensive Player of the Year together.,"Left basketball for professional baseball, then returned."
,Kobe Bryant,SG,HALL_OF_FAMER,5,0.05,Averaged 4.7 assists per game for his career.,Shot 32.9% from three for his career.,Entered the NBA directly from high school.,1996-2016,Selected 13th overall in the 1996 draft.,Made 12 NBA All-Defensive teams.,Scored 81 points in a regular-season game.
,Dwyane Wade,SG,HALL_OF_FAMER,5,0.05,Started 56 of 61 games as a rookie.,Played only 51 games in the 2007-08 season.,"Born in Chicago, Illinois.",2003-2019,Led the NBA with 30.2 points per game in 2008-09.,Blocked more shots than any guard when including playoffs.,Averaged 34.7 points and won the 2006 Finals MVP.
,Allen Iverson,SG,HALL_OF_FAMER,5,0.05,Shot 46.1% from the field in his second season.,Averaged 4.4 turnovers per game as a rookie.,Played 914 regular-season games.,1996-2010,Led the NBA in minutes per game 7 times.,Won 4 scoring titles and 3 steals titles.,Scored 48 points in Game 1 of the 2001 Finals.
,Clyde Drexler,SG,HALL_OF_FAMER,5,0.05,Shot 47.2% from the field for his career.,Averaged only 7.7 points per game as a rookie.,Played college basketball at Houston.,1983-1998,Made 10 NBA All-Star teams.,Reached the NBA Finals twice with Portland.,Was traded to Houston midseason and won the 1995 championship.
,James Harden,SG,ALL_STAR,4,0.15,Shot 86.3% from the free-throw line for his career.,Averaged 3.8 turnovers per game for his career.,"Born in Los Angeles, California.",2009-present,Won Sixth Man of the Year in his third season.,Won 3 consecutive NBA scoring titles.,Averaged 36.1 points per game in 2018-19.
,Tracy McGrady,SG,ALL_STAR,4,0.15,Averaged 5.6 rebounds per game for his career.,Shot 33.8% from three for his career.,Listed at 6-foot-8.,"1997-2012, 2013",Entered the NBA directly from high school.,Won back-to-back NBA scoring titles.,Scored 13 points in the final 35 seconds of a win.
,Ray Allen,SG,ALL_STAR,4,0.15,Started 81 of 82 games as a rookie.,Never made an NBA All-Defensive team.,Played college basketball at UConn.,1996-2014,Selected 5th overall in the 1996 draft.,Made 10 NBA All-Star teams.,Hit the game-tying three with 5.2 seconds left in Game 6 of the 2013 Finals.
,Reggie Miller,SG,ALL_STAR,4,0.15,Shot 48.8% from the field as a rookie.,Averaged 3.0 rebounds per game for his career.,"Played 1,389 regular-season games.",1987-2005,Played college basketball at UCLA.,Made 5 NBA All-Star teams.,Scored 8 points in 9 seconds against the Knicks.
,Vince Carter,SG,ALL_STAR,4,0.15,Averaged 4.3 rebounds per game for his career.,Played only 43 games in the 2002-03 season.,Selected 5th overall in the 1998 draft.,1998-2020,Won Rookie of the Year in 1998-99.,Won the 2000 Slam Dunk Contest.,Became the only NBA player to appear in 4 different decades.
,Klay Thompson,SG,ALL_STAR,4,0.15,Played all 82 games in the 2012-13 season.,Averaged 2.2 assists per game for his career.,Played college basketball at Washington State.,"2011-2019, 2022-present",Made an NBA All-Defensive team in 2018-19.,Scored 60 points in only 29 minutes.,Set an NBA record with 14 threes in one game.
,Manu Ginóbili,SG,ALL_STAR,4,0.15,Shot 82.7% from the free-throw line for his career.,"Started only 349 of 1,057 regular-season games.",Listed at 6-foot-6.,2002-2018,Selected 57th overall in the 1999 draft.,Won 4 NBA championships.,Won Olympic gold and EuroLeague MVP outside the NBA.
,DeMar DeRozan,SG,ALL_STAR,4,0.15,Played all 82 games in 2 of his first 4 seasons.,Shot 30.2% from three for his career.,Played one college season at USC.,2009-present,Spent his first 9 NBA seasons with Toronto.,Made 6 NBA All-Star teams.,Set Toronto's franchise record with a 52-point game.
,Joe Dumars,SG,ALL_STAR,4,0.15,Averaged 4.5 assists per game for his career.,Averaged 2.2 rebounds per game for his career.,Selected 18th overall in the 1985 draft.,1985-1999,Played all 14 NBA seasons with Detroit.,Made 5 NBA All-Defensive teams.,Won the 1989 Finals MVP.
,Mitch Richmond,SG,ALL_STAR,4,0.15,Shot 38.8% from three for his career.,Never made an NBA All-Defensive team.,Played college basketball at Kansas State.,1988-2002,Won Rookie of the Year in 1988-89.,Won the 1995 NBA All-Star Game MVP.,Was part of Golden State's famous Run TMC trio.
,CJ McCollum,SG,SOLID,3,0.35,Averaged 3.8 assists per game for his career.,Played only 38 games as a rookie.,Listed at 6-foot-3.,2013-present,Selected 10th overall in the 2013 draft.,Won Most Improved Player in 2015-16.,Scored 50 points in just 29 minutes and 16 seconds.
,Monta Ellis,SG,SOLID,3,0.35,Averaged 4.6 assists per game for his career.,Shot 31.4% from three for his career.,Listed at 6-foot-3.,2005-2017,Entered the NBA directly from high school.,Won Most Improved Player in 2006-07.,Averaged 25.5 points in 2009-10 and scored a career-high 48.
,Jason Richardson,SG,SOLID,3,0.35,Averaged 5.0 rebounds per game for his career.,Shot 70.7% from the free-throw line for his career.,Played college basketball at Michigan State.,2001-2015,Selected 5th overall in the 2001 draft.,Averaged 23.2 points per game in 2005-06.,Won back-to-back Slam Dunk Contests in 2002 and 2003.
,Kevin Martin,SG,SOLID,3,0.35,Averaged 17.4 points per game for his career.,Averaged 1.9 assists per game for his career.,Played college basketball at Western Carolina.,2004-2016,Selected 26th overall in the 2004 draft.,Averaged 24.6 points per game in 2007-08.,Scored 50 points while making only 11 field goals.
,Eric Gordon,SG,SOLID,3,0.35,Made the NBA All-Rookie Second Team.,Averaged 2.3 rebounds per game for his career.,Played college basketball at Indiana.,2008-present,Selected 7th overall in the 2008 draft.,Won Sixth Man of the Year in 2016-17.,Scored a career-high 50 points in 2020.
,JJ Redick,SG,SOLID,3,0.35,Played 15 NBA seasons.,Averaged 2.0 rebounds per game for his career.,Played 940 regular-season games.,2006-2021,Selected 11th overall in the 2006 draft.,Led the NBA at 47.5% from three in 2015-16.,Graduated from Duke as the NCAA career leader with 457 threes.
,J.R. Smith,SG,SOLID,3,0.35,Won championships with Cleveland and the Lakers.,Never made an NBA All-Star team in 16 seasons.,Entered the NBA directly from high school.,2004-2020,Won Sixth Man of the Year in 2013.,Became a college golfer at age 36 after the NBA.,Dribbled toward midcourt in the tied 2018 Finals Game 1.
,Danny Green,SG,SOLID,3,0.35,Played 832 regular-season games.,Averaged 8.7 points per game for his career.,Played college basketball at North Carolina.,2009-2023,Selected 46th overall in the 2009 draft.,Made the 2017 All-Defensive Second Team.,Broke the NBA Finals record with 23 threes in 2013.
,Wesley Matthews,SG,SOLID,3,0.35,Started 48 games as a rookie.,Shot 41.9% from the field for his career.,"Born in San Antonio, Texas.",2009-2024,Went undrafted in 2009.,Made 10 threes in a single game in 2015.,Became the NBA's all-time leader in threes by an undrafted player.
,Kentavious Caldwell-Pope,SG,SOLID,3,0.35,Started all 82 games in his second season.,Shot 42.7% from the field for his career.,Played college basketball at Georgia.,2013-present,Selected 8th overall in the 2013 draft.,Won the 2020 NBA championship with the Lakers.,Won another championship with Denver in 2023.
,Avery Bradley,SG,SOLID,3,0.35,Played 12 NBA seasons.,Averaged 1.7 assists per game for his career.,"Born in Tacoma, Washington.",2010-2022,Selected 19th overall in the 2010 draft.,Made the 2013 All-Defensive Second Team.,Made First Team All-Defense and finished 6th in DPOY voting in 2016.
,Tony Allen,SG,SOLID,3,0.35,Averaged 1.4 steals per game for his career.,Shot 28.2% from three for his career.,Played 820 regular-season games.,2004-2018,Selected 25th overall in the 2004 draft.,Made 6 NBA All-Defensive teams.,Had his No. 9 retired by the Memphis Grizzlies.
,Raja Bell,SG,SOLID,3,0.35,Shot 40.6% from three for his career.,Never made an NBA All-Star team.,Was born in the U.S. Virgin Islands.,2001-2012,Went undrafted before reaching the 2001 Finals.,Made back-to-back All-Defensive teams in Phoenix.,Was ejected for clotheslining Kobe in the 2006 playoffs.
